State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All,9,0,7,7,17,15,23,23,19,15,21,14,27,18,21,24,28,42,381,419,230,946,"1,072"
California,0,0,4,2,2,11,6,5,4,4,5,9,7,10,13,6,6,14,59,110,59,308,316
New York,1,NA,NA,NA,2,NA,1,1,1,,,NA,1,3,1,1,3,1,22,23,3,58,91
Florida,2,1,2,3,8,2,7,6,10,1,7,2,6,3,3,7,8,8,31,59,20,125,81
Texas,2,1,1,1,3,NA,2,6,2,3,3,1,1,1,1,1,3,2,66,60,49,178,88
New Jersey,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,5,1,15,19
Massachussets,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,3,4
Virginia,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,4,NA,NA,NA,NA,1,6,5,,7,27
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,34,28,31,61,117
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,2,5,11,21,8,15,81
Washignton,NA,NA,NA,NA,NA, NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,11,9,NA,18,27
Georgia,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,8,13,3,12,15
Pennsylvania,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,9,5
Tennessee,NA,NA,NA,NA,NA,NA,2,NA,,NA,NA,NA,5,NA,NA,NA,NA,1,1,2,1,4,26
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2
Arizona,2,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,41,17,4,17,7
Ohio,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,2,4,7
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2
Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18,2,29,27
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,1
Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,14,7,1,10,18
Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,9,42
Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1
Connecticut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,4,6,13
Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,6
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,13,5
Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,4
Hawaii,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1,17,14,NA
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Known,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA